nearest_place,postal_code,city
"Qadam Gah Maula Ali Hyderabad Fort Rani Bagh",71000,Hyderabad
"Pacca Qila Shahi Bazaar Resham Gali",71000,Hyderabad
"Hyderabad Clock Tower Shahi Bazaar",71000,Hyderabad
"Saddar Cantt Road Tilak Incline",71000,Hyderabad
"Hirabad Market Gari Khata",71000,Hyderabad
"Jail Road Hyderabad Civil Hospital",71000,Hyderabad
"Hyderabad Railway Station Station Road",71000,Hyderabad
"Bunder Road New Hala Nakka",71000,Hyderabad
"Kotri Barrage Bridge Hyderabad",71000,Hyderabad
"Jamshoro Road Hyderabad Bypass",71000,Hyderabad
"Latifabad Unit 3 Latifabad Police Station",71800,Hyderabad
"Latifabad Unit 7 Naseem Nagar",71800,Hyderabad
"Latifabad Unit 8 Autobhan Road",71800,Hyderabad
"Latifabad Unit 9 Ghareeb Nawaz Colony",71800,Hyderabad
"Latifabad Unit 10 Jan Muhammad Brohi Goth",71800,Hyderabad
"Latifabad Unit 11 Bhittai Nagar",71800,Hyderabad
"Latifabad Unit 12 Gulshan-e-Hali",71800,Hyderabad
"Latifabad Unit 4 Hyderabad Gymkhana",71800,Hyderabad
"Latifabad Unit 5 Tando Yousaf",71800,Hyderabad
"Latifabad Unit 6 Kohsar Housing Society",71800,Hyderabad
"Qasimabad Phase 1 Gulistan-e-Sajjad",71100,Hyderabad
"Qasimabad Phase 2 Wadhu Wah",71100,Hyderabad
"Qasimabad Phase 3 Citizen Colony",71100,Hyderabad
"Qasimabad Main Road Niaz Hotel",71100,Hyderabad
"Qasimabad Jilani Masjid Road",71100,Hyderabad
"Hyderabad Cantonment Army Public School",71500,Hyderabad
"Cantt Bazar Askari Park",71500,Hyderabad
"Saddar Cantt Area Badin Stop",71500,Hyderabad
"Hyderabad Cantt GHQ Gate",71500,Hyderabad
"Bungalows Road Cantt Hyderabad",71500,Hyderabad
"Koh-e-Noor Chowk Saddar",71000,Hyderabad
"Resham Gali Hyder Chowk",71000,Hyderabad
"Furniture Market Phuleli",71000,Hyderabad
"Anaj Mandi Hyderabad",71000,Hyderabad
"Naya Pul Bridge Phuleli Canal",71000,Hyderabad
"Pir Jhando Road Hyderabad",71000,Hyderabad
"City Gate Hotel Hyderabad",71000,Hyderabad
"Sire Ghat Hyderabad",71000,Hyderabad
"Mochi Gate area Hyderabad",71000,Hyderabad
"Tando Jam Road Near Canal",71000,Hyderabad
"Hyderabad Bypass Abdullah Mor",71000,Hyderabad
"Sehrish Nagar Qasimabad",71100,Hyderabad
"Memon Goth Qasimabad",71100,Hyderabad
"Zeeshan Colony Qasimabad",71100,Hyderabad
"Mubarak Colony Qasimabad",71100,Hyderabad
"Banglow Katchi Qasimabad",71100,Hyderabad
"Civil Lines Hyderabad Club",71000,Hyderabad
"Gul Centre Latifabad Unit 7",71800,Hyderabad
"Nawab Colony Latifabad Unit 8",71800,Hyderabad
"Fatima Jinnah Road Latifabad",71800,Hyderabad
"Old City Noorani Basti",71000,Hyderabad
"Kashmir Road Latifabad",71800,Hyderabad
"Chandi Bazaar Hyderabad",71000,Hyderabad
"Gulshan-e-Zia Latifabad",71800,Hyderabad
"Ali Palace Latifabad Unit 12",71800,Hyderabad
"Gulshan-e-Ghazi Latifabad",71800,Hyderabad
"Rizwan Society Latifabad",71800,Hyderabad
"Al-Falah Society Qasimabad",71100,Hyderabad
"Mehran Town Latifabad",71800,Hyderabad
"Jubilee Cinema Latifabad",71800,Hyderabad
"Hussainabad Food Street",71000,Hyderabad
"Gulistan-e-Sarmast Latifabad",71800,Hyderabad
"Pakka Qila Chowk",71000,Hyderabad
"Rang Rangoli Square Hyderabad",71000,Hyderabad
"Bait-ul-Mukarram Masjid Hali Road",71800,Hyderabad
"Preedy Gate Cantonment",71500,Hyderabad
